Date,Firm,cum_ret
2016-01-05,AAPL,0.9749406739439962
2016-01-06,AAPL,0.9558614143331752
2016-01-07,AAPL,0.9155196962505933
2016-01-08,AAPL,0.9203607024205029
2016-01-11,AAPL,0.9352634076886568
2016-01-12,AAPL,0.9488372093023254
2016-01-13,AAPL,0.9244423350735642
2016-01-14,AAPL,0.9446606549596582
2016-01-15,AAPL,0.9219743711438063
2016-01-19,AAPL,0.9175130517323209
2016-01-20,AAPL,0.9187470336971999
2016-01-21,AAPL,0.9140958709065021
2016-01-22,AAPL,0.9626957759848125
2016-01-25,AAPL,0.9439012814428097
2016-01-26,AAPL,0.9491219743711438
2016-01-27,AAPL,0.8867584242999526
2016-01-28,AAPL,0.8931181775035596
2016-01-29,AAPL,0.9239677266255338
2016-02-01,AAPL,0.915329852871381
2016-02-02,AAPL,0.8968201233981964
2016-02-03,AAPL,0.9145704793545323
2016-02-04,AAPL,0.9169435215946842
2016-02-05,AAPL,0.8924537256763169
2016-02-08,AAPL,0.9018509729473184
2016-02-09,AAPL,0.9016611295681062
2016-02-10,AAPL,0.8948267679164688
2016-02-11,AAPL,0.8894162316089225
2016-02-12,AAPL,0.8921689606074986
2016-02-16,AAPL,0.9173232083531085
2016-02-17,AAPL,0.9313716184148076
2016-02-18,AAPL,0.9137161841480778
2016-02-19,AAPL,0.9116279069767441
2016-02-22,AAPL,0.9196013289036543
2016-02-23,AAPL,0.8988134788799239
2016-02-24,AAPL,0.9121974371143804
2016-02-25,AAPL,0.9184622686283813
2016-02-26,AAPL,0.9198860939724723
2016-02-29,AAPL,0.9177978168011388
2016-03-01,AAPL,0.9542477456098716
2016-03-02,AAPL,0.9563360227812052
2016-03-03,AAPL,0.9634551495016608
2016-03-04,AAPL,0.9777883246321781
2016-03-07,AAPL,0.9669672520170856
2016-03-08,AAPL,0.9589938300901752
2016-03-09,AAPL,0.9598481252966299
2016-03-10,AAPL,0.9603227337446603
2016-03-11,AAPL,0.9706691979117225
2016-03-14,AAPL,0.9731371618414804
2016-03-15,AAPL,0.9926910299003318
2016-03-16,AAPL,1.0058851447555761
2016-03-17,AAPL,1.0042714760322728
2016-03-18,AAPL,1.0054105363075458
2016-03-21,AAPL,1.0053156146179398
2016-03-22,AAPL,1.0130042714760321
2016-03-23,AAPL,1.0074038917892736
2016-03-24,AAPL,1.0030374940673943
2016-03-28,AAPL,0.9984812529663025
2016-03-29,AAPL,1.0221167536782152
2016-03-30,AAPL,1.039962031324157
2016-03-31,AAPL,1.0345514950166108
2016-04-01,AAPL,1.0440436639772184
2016-04-04,AAPL,1.054769814902705
2016-04-05,AAPL,1.042335073564309
2016-04-06,AAPL,1.0532510678690077
2016-04-07,AAPL,1.0302800189843375
2016-04-08,AAPL,1.0314190792596105
2016-04-11,AAPL,1.034836260085429
2016-04-12,AAPL,1.0483151400094919
2016-04-13,AAPL,1.0635026103464638
2016-04-14,AAPL,1.0640721404841003
2016-04-15,AAPL,1.0427147603227334
2016-04-18,AAPL,1.0202183198860937
2016-04-19,AAPL,1.0148077835785474
2016-04-20,AAPL,1.016896060749881
2016-04-21,AAPL,1.0058851447555761
2016-04-22,AAPL,1.003132415757
2016-04-25,AAPL,0.9974371143806355
2016-04-26,AAPL,0.990507831039392
2016-04-27,AAPL,0.9285239677266252
2016-04-28,AAPL,0.9001423825344087
2016-04-29,AAPL,0.8897959183673466
2016-05-02,AAPL,0.888846701471286
2016-05-03,AAPL,0.9034646416706216
2016-05-04,AAPL,0.8940673943996201
2016-05-05,AAPL,0.8850498338870431
2016-05-06,AAPL,0.8801139060275271
2016-05-09,AAPL,0.8807783578547697
2016-05-10,AAPL,0.8867584242999523
2016-05-11,AAPL,0.8781205505457995
2016-05-12,AAPL,0.8575225439012812
2016-05-13,AAPL,0.8592311343141904
2016-05-16,AAPL,0.8911248220218316
2016-05-17,AAPL,0.8874228761271948
2016-05-18,AAPL,0.8975794969150448
2016-05-19,AAPL,0.8941623160892261
2016-05-20,AAPL,0.9038443284290457
2016-05-23,AAPL,0.9153298528713809
2016-05-24,AAPL,0.9292833412434739
2016-05-25,AAPL,0.9456098718557188
2016-05-26,AAPL,0.9531086853345986
2016-05-27,AAPL,0.9525391551969621
2016-05-31,AAPL,0.9478879924062644
2016-06-01,AAPL,0.9345989558614138
2016-06-02,AAPL,0.9275747508305643
2016-06-03,AAPL,0.9294731846226858
2016-06-06,AAPL,0.9362126245847171
2016-06-07,AAPL,0.9400094921689601
2016-06-08,AAPL,0.9391551969625055
2016-06-09,AAPL,0.9458946369245368
2016-06-10,AAPL,0.9381110583768386
2016-06-13,AAPL,0.9239677266255335
2016-06-14,AAPL,0.9251067869008064
2016-06-15,AAPL,0.922069292833412
2016-06-16,AAPL,0.925961082107261
2016-06-17,AAPL,0.9048884670147125
2016-06-20,AAPL,0.9027052681537727
2016-06-21,AAPL,0.9103939250118648
2016-06-22,AAPL,0.906976744186046
2016-06-23,AAPL,0.9121974371143803
2016-06-24,AAPL,0.8865685809207401
2016-06-27,AAPL,0.8736592311343139
2016-06-28,AAPL,0.8883720930232555
2016-06-29,AAPL,0.8960607498813477
2016-06-30,AAPL,0.9074513526340766
2016-07-01,AAPL,0.9102040816326529
2016-07-05,AAPL,0.9016611295681061
2016-07-06,AAPL,0.9067869008068343
2016-07-07,AAPL,0.9106786900806833
2016-07-08,AAPL,0.9177028951115329
2016-07-11,AAPL,0.9205505457997151
2016-07-12,AAPL,0.9247271001423824
2016-07-13,AAPL,0.9195064072140482
2016-07-14,AAPL,0.9377313716184146
2016-07-15,AAPL,0.9376364499288083
2016-07-18,AAPL,0.9476032273374462
2016-07-19,AAPL,0.9479829140958707
2016-07-20,AAPL,0.9488372093023253
2016-07-21,AAPL,0.9438063597532034
2016-07-22,AAPL,0.9364973896535355
2016-07-25,AAPL,0.9239677266255336
2016-07-26,AAPL,0.9176079734219266
2016-07-27,AAPL,0.9772187944945415
2016-07-28,AAPL,0.9904129093497861
2016-07-29,AAPL,0.989178927384907
2016-08-01,AAPL,1.0066445182724248
2016-08-02,AAPL,0.9917418130042712
2016-08-03,AAPL,1.004176554342667
2016-08-04,AAPL,1.0049359278595156
2016-08-05,AAPL,1.0202183198860935
2016-08-08,AAPL,1.0286663502610343
2016-08-09,AAPL,1.0328429046037013
2016-08-10,AAPL,1.0251542477456093
2016-08-11,AAPL,1.0244897959183668
2016-08-12,AAPL,1.0268628381585185
2016-08-15,AAPL,1.0392026578073084
2016-08-16,AAPL,1.0382534409112476
2016-08-17,AAPL,1.0367346938775504
2016-08-18,AAPL,1.0354057902230653
2016-08-19,AAPL,1.0380635975320356
2016-08-22,AAPL,1.0299952539155193
2016-08-23,AAPL,1.0332225913621256
2016-08-24,AAPL,1.0254390128144275
2016-08-25,AAPL,1.021072615092548
2016-08-26,AAPL,1.0150925486473654
2016-08-29,AAPL,1.0139534883720924
2016-08-30,AAPL,1.0061699098243944
2016-08-31,AAPL,1.0071191267204551
2016-09-01,AAPL,1.0130991931656381
2016-09-02,AAPL,1.0225913621262455
2016-09-06,AAPL,1.0223065970574272
2016-09-07,AAPL,1.0285714285714282
2016-09-08,AAPL,1.0016136687233028
2016-09-09,AAPL,0.9789273849074509
2016-09-12,AAPL,1.000854295206454
2016-09-13,AAPL,1.0246796392975792
2016-09-14,AAPL,1.0609397247270997
2016-09-15,AAPL,1.0970099667774083
2016-09-16,AAPL,1.0908400569530134
2016-09-19,AAPL,1.0781205505457994
2016-09-20,AAPL,1.0780256288561931
2016-09-21,AAPL,1.0778357854769811
2016-09-22,AAPL,1.0879924062648312
2016-09-23,AAPL,1.0698623635500708
2016-09-26,AAPL,1.071476032273374
2016-09-27,AAPL,1.0734693877551016
2016-09-28,AAPL,1.0816326530612241
2016-09-29,AAPL,1.064831514000949
2016-09-30,AAPL,1.0730897009966776
2016-10-03,AAPL,1.0680588514475555
2016-10-04,AAPL,1.072615092548647
2016-10-05,AAPL,1.0730897009966773
2016-10-06,AAPL,1.0810631229235876
2016-10-07,AAPL,1.082676791646891
2016-10-10,AAPL,1.1015662078784998
2016-10-11,AAPL,1.1039392501186516
2016-10-12,AAPL,1.1138111058376834
2016-10-13,AAPL,1.1103939250118646
2016-10-14,AAPL,1.1165638348362596
2016-10-17,AAPL,1.115804461319411
2016-10-18,AAPL,1.1150450878025624
