Date,prc,vol,ret,ret_cum
2016-01-05,102.71,55790992,-0.025059326056003806,0.9749406739439962
2016-01-06,100.7,68457388,-0.019569662155583645,0.9558614143331752
2016-01-07,96.45,81094428,-0.04220456802383321,0.9155196962505933
2016-01-08,96.96,70798016,0.005287713841368502,0.9203607024205029
2016-01-11,98.53,49739377,0.016192244224422447,0.9352634076886568
2016-01-12,99.96,49154227,0.014513346188977927,0.9488372093023254
2016-01-13,97.39,61745031,-0.0257102841136454,0.9244423350735642
2016-01-14,99.52,62424154,0.02187082862716916,0.9446606549596582
2016-01-15,97.13,79010008,-0.024015273311897123,0.9219743711438063
2016-01-19,96.66,52841349,-0.004838875733552905,0.9175130517323209
2016-01-20,96.79,72008265,0.001344920339333866,0.9187470336971999
2016-01-21,96.3,52054521,-0.0050625064572787926,0.9140958709065021
2016-01-22,101.42,65562769,0.05316718587746627,0.9626957759848125
2016-01-25,99.44,51196375,-0.0195227765726681,0.9439012814428097
2016-01-26,99.99,63538305,0.005530973451327359,0.9491219743711438
2016-01-27,93.42,132224500,-0.06570657065706564,0.8867584242999526
2016-01-28,94.09,55557109,0.0071719117961892564,0.8931181775035596
2016-01-29,97.34,64010141,0.03454139653523214,0.9239677266255338
2016-02-01,96.43,40571593,-0.00934867474830492,0.915329852871381
2016-02-02,94.48,37081206,-0.02022192263818312,0.8968201233981964
2016-02-03,96.35,45366710,0.019792548687552758,0.9145704793545323
2016-02-04,96.6,46263907,0.002594706798131785,0.9169435215946842
2016-02-05,94.02,45853883,-0.026708074534161463,0.8924537256763169
2016-02-08,95.01,53852284,0.010529674537332667,0.9018509729473184
2016-02-09,94.99,44262912,-2.105041574572697e-4,0.9016611295681062
2016-02-10,94.27,42244975,-0.00757974523634064,0.8948267679164688
2016-02-11,93.7,49686210,-0.006046462289169385,0.8894162316089225
2016-02-12,93.99,40121670,0.003094983991462019,0.8921689606074986
2016-02-16,96.64,47490678,0.02819448877540176,0.9173232083531085
2016-02-17,98.12,44390173,0.01531456953642385,0.9313716184148076
2016-02-18,96.26,38494442,-0.018956379942926982,0.9137161841480778
2016-02-19,96.04,34485576,-0.002285476833575717,0.9116279069767441
2016-02-22,96.88,34048195,0.008746355685131046,0.9196013289036543
2016-02-23,94.69,31686699,-0.02260528488852187,0.8988134788799239
2016-02-24,96.1,36155642,0.014890695955222188,0.9121974371143804
2016-02-25,96.76,27393905,0.006867845993756561,0.9184622686283813
2016-02-26,96.91,28913208,0.0015502273666803124,0.9198860939724723
2016-02-29,96.69,34876558,-0.002270147559591318,0.9177978168011388
2016-03-01,100.53,50153943,0.0397145516599442,0.9542477456098716
2016-03-02,100.75,33084941,0.0021884014721973433,0.9563360227812052
2016-03-03,101.5,36792245,0.007444168734491274,0.9634551495016608
2016-03-04,103.01,45936485,0.014876847290640427,0.9777883246321781
2016-03-07,101.87,35828909,-0.011066886710028201,0.9669672520170856
2016-03-08,101.03,31274161,-0.008245803475017244,0.9589938300901752
2016-03-09,101.12,27130729,8.908245075720522e-4,0.9598481252966299
2016-03-10,101.17,33513577,4.944620253164445e-4,0.9603227337446603
2016-03-11,102.26,27200833,0.010773944845309913,0.9706691979117225
2016-03-14,102.52,25027426,0.002542538627029023,0.9731371618414804
2016-03-15,104.58,40067734,0.020093640265314017,0.9926910299003318
2016-03-16,105.97,37893758,0.013291260279212125,1.0058851447555761
2016-03-17,105.8,34244593,-0.0016042276115881826,1.0042714760322728
2016-03-18,105.92,43402289,0.0011342155009452792,1.0054105363075458
2016-03-21,105.91,35180796,-9.44108761329332e-5,1.0053156146179398
2016-03-22,106.72,32232567,0.007648003021433425,1.0130042714760321
2016-03-23,106.13,25452612,-0.005528485757121504,1.0074038917892736
2016-03-24,105.67,25480914,-0.0043343069820031,1.0030374940673943
2016-03-28,105.19,19303557,-0.004542443456042489,0.9984812529663025
2016-03-29,107.68,30774115,0.023671451658902942,1.0221167536782152
2016-03-30,109.56,45159861,0.017459138187221335,1.039962031324157
2016-03-31,108.99,25685672,-0.005202628696604705,1.0345514950166108
2016-04-01,109.99,25626163,0.009175153683824266,1.0440436639772184
