Date,ret_cum_aapl,ret_cum_amzn
2016-01-05,0.9749406739439962,0.9949763732554671
2016-01-06,0.9558614143331752,0.9931867062277272
2016-01-07,0.9155196962505933,0.9543948884597875
2016-01-08,0.9203607024205029,0.9529976922714642
2016-01-11,0.9352634076886568,0.9697797453649195
2016-01-12,0.9488372093023254,0.9700152278685695
2016-01-13,0.9244423350735642,0.9133738363239612
2016-01-14,0.9446606549596582,0.9309408310962496
2016-01-15,0.9219743711438063,0.8951160928742994
2016-01-19,0.9175130517323209,0.9018665913122657
2016-01-20,0.9187470336971999,0.8976122074129893
2016-01-21,0.9140958709065021,0.9027143283254055
2016-01-22,0.9626957759848125,0.9362470368451625
2016-01-25,0.9439012814428097,0.9364825193488124
2016-01-26,0.9491219743711438,0.9438923687969983
2016-01-27,0.8867584242999526,0.9157914566947677
2016-01-28,0.8931181775035596,0.997425391293427
2016-01-29,0.9239677266255338,0.9215215309502505
2016-02-01,0.915329852871381,0.9023846528202956
2016-02-02,0.8968201233981964,0.8667326017676888
2016-02-03,0.9145704793545323,0.8337179547559618
2016-02-04,0.9169435215946842,0.8418656493822511
2016-02-05,0.8924537256763169,0.7882855303850925
2016-02-08,0.9018509729473184,0.7662600668770313
2016-02-09,0.9016611295681062,0.7567936702303021
2016-02-10,0.8948267679164688,0.7699963892682775
2016-02-11,0.8894162316089225,0.7909386332595489
2016-02-12,0.8921689606074986,0.7960564530055418
2016-02-16,0.9173232083531085,0.8180662176800265
2016-02-17,0.9313716184148076,0.8384747013296915
2016-02-18,0.9137161841480778,0.8241887627749259
2016-02-19,0.9116279069767441,0.8397306080158247
2016-02-22,0.9196013289036543,0.8783497386144212
2016-02-23,0.8988134788799239,0.8680513037881289
2016-02-24,0.9121974371143804,0.8697781754815619
2016-02-25,0.9184622686283813,0.8715207460085718
2016-02-26,0.9198860939724723,0.871646336677185
2016-02-29,0.9177978168011388,0.8673919527779087
2016-03-01,0.9542477456098716,0.909025259423225
2016-03-02,0.9563360227812052,0.9108620229516948
2016-03-03,0.9634551495016608,0.9065919402188419
2016-03-04,0.9777883246321781,0.9029027143283256
2016-03-07,0.9669672520170856,0.8835303536947205
2016-03-08,0.9589938300901752,0.8795428499662477
2016-03-09,0.9598481252966299,0.8783026421136911
2016-03-10,0.9603227337446603,0.8774549051005511
2016-03-11,0.9706691979117225,0.8942212593604297
2016-03-14,0.9731371618414804,0.9001240207852559
2016-03-15,0.9926910299003318,0.9058540950407387
2016-03-16,1.0058851447555761,0.9015369158071557
2016-03-17,1.0042714760322728,0.8782555456129613
2016-03-18,1.0054105363075458,0.8667012041005355
2016-03-21,1.0053156146179398,0.869683982480102
2016-03-22,1.0130042714760321,0.8798882243049345
2016-03-23,1.0074038917892736,0.894252657027583
2016-03-24,1.0030374940673943,0.9151635033517014
2016-03-28,0.9984812529663025,0.9103282626100884
2016-03-29,1.0221167536782152,0.9322909307838431
2016-03-30,1.039962031324157,0.9398734674013725
2016-03-31,1.0345514950166108,0.9319455564451564
2016-04-01,1.0440436639772184,0.9395751895634157
2016-04-04,1.054769814902705,0.9312391089342066
2016-04-05,1.042335073564309,0.9201714312626574
2016-04-06,1.0532510678690077,0.9451953719838618
2016-04-07,1.0302800189843375,0.9284761142247132
2016-04-08,1.0314190792596105,0.9334526444685162
2016-04-11,1.034836260085429,0.9355405893342125
2016-04-12,1.0483151400094919,0.9469065448437183
2016-04-13,1.0635026103464638,0.9651956859605335
2016-04-14,1.0640721404841003,0.9745050942714959
2016-04-15,1.0427147603227334,0.9825742947299019
2016-04-18,1.0202183198860937,0.9974253912934272
2016-04-19,1.0148077835785474,0.9857297602788117
2016-04-20,1.016896060749881,0.9937204665693342
2016-04-21,1.0058851447555761,0.9905963986875778
2016-04-22,1.003132415757,0.9741126234320793
2016-04-25,0.9974371143806355,0.9830609585707786
2016-04-26,0.990507831039392,0.9684296456773266
2016-04-27,0.9285239677266252,0.9522441482597848
2016-04-28,0.9001423825344087,0.9450697813152487
2016-04-29,0.8897959183673466,1.0354793638832638
2016-05-02,0.888846701471286,1.0735647341402539
2016-05-03,0.9034646416706216,1.0538940956686922
2016-05-04,0.8940673943996201,1.0532347446584722
2016-05-05,0.8850498338870431,1.0346944222044305
2016-05-06,0.8801139060275271,1.0580228888993553
2016-05-09,0.8807783578547697,1.067128212373821
2016-05-10,0.8867584242999523,1.1037378922746044
2016-05-11,0.8781205505457995,1.1196879071884962
2016-05-12,0.8575225439012812,1.1270663589695287
2016-05-13,0.8592311343141904,1.1144915932746198
2016-05-16,0.8911248220218316,1.115653306959293
2016-05-17,0.8874228761271948,1.0914928020848054
2016-05-18,0.8975794969150448,1.0949151478045185
2016-05-19,0.8941623160892261,1.0965949229972216
2016-05-20,0.9038443284290457,1.1033140237680343
2016-05-23,0.9153298528713809,1.0938162294541518
2016-05-24,0.9292833412434739,1.1055118604687677
2016-05-25,0.9456098718557188,1.1120268764030838
2016-05-26,0.9531086853345986,1.122325311229376
2016-05-27,0.9525391551969621,1.1181337226644064
2016-05-31,0.9478879924062644,1.1346959920877882
2016-06-01,0.9345989558614138,1.1294368828396053
2016-06-02,0.9275747508305643,1.1432518563870706
2016-06-03,0.9294731846226858,1.1390131713213711
2016-06-06,0.9362126245847171,1.1408813325169944
2016-06-07,0.9400094921689601,1.1361873812775716
2016-06-08,0.9391551969625055,1.1407400430148043
2016-06-09,0.9458946369245368,1.1423256252060474
2016-06-10,0.9381110583768386,1.1270349613023756
2016-06-13,0.9239677266255335,1.1228433727374059
