Date,Open,High,Low,Close,Volume
25-May-16,208.67,209.77,207.87,209.28,78059002
24-May-16,206.17,208.24,206.14,207.87,92183186
23-May-16,205.51,205.84,204.98,205.21,58382204
20-May-16,204.92,206.10,204.86,205.49,106391908
19-May-16,204.06,204.54,202.78,204.20,114213582
18-May-16,204.44,206.30,203.63,204.91,121676028
17-May-16,206.46,206.80,204.23,204.85,112758529
16-May-16,204.96,207.34,204.89,206.78,76651000
13-May-16,206.21,206.86,204.38,204.76,95946475
12-May-16,207.29,207.49,205.37,206.56,88843392
11-May-16,207.91,208.54,206.50,206.50,79920379
10-May-16,206.72,208.47,206.64,208.45,76445687
9-May-16,205.57,206.40,205.36,205.89,72649675
6-May-16,204.06,205.77,203.88,205.72,86900274
5-May-16,205.56,205.98,204.47,204.97,66549308
4-May-16,204.99,205.85,204.42,205.01,91312651
3-May-16,206.52,206.80,205.28,206.16,104707052
2-May-16,206.92,208.18,206.41,207.97,61624442
29-Apr-16,206.72,207.13,205.03,206.33,139941202
28-Apr-16,208.46,209.76,206.96,207.45,95931092
27-Apr-16,208.47,209.81,208.05,209.35,74785306
26-Apr-16,209.04,209.52,208.36,208.92,73631053
25-Apr-16,208.26,208.66,207.54,208.61,65772156
22-Apr-16,208.55,209.29,207.91,208.97,97485534
21-Apr-16,210.12,210.25,208.65,208.97,80790054
20-Apr-16,209.95,210.92,209.39,210.10,77333907
19-Apr-16,209.74,210.20,208.94,209.90,86869547
18-Apr-16,207.14,209.28,207.00,209.24,81477881
15-Apr-16,208.01,208.17,207.40,207.78,75123038
14-Apr-16,208.07,208.60,207.60,208.01,64763839
13-Apr-16,207.00,208.10,206.84,208.00,93840162
12-Apr-16,204.22,206.25,203.70,205.92,113056789
11-Apr-16,205.25,206.07,203.91,204.02,81496090
8-Apr-16,205.34,205.85,203.87,204.50,94553515
7-Apr-16,205.14,205.56,203.09,203.95,111208660
6-Apr-16,204.29,206.49,203.98,206.42,91167807
5-Apr-16,204.67,206.26,203.89,204.19,90930441
4-Apr-16,206.83,207.07,205.89,206.25,62340197
1-Apr-16,204.35,207.14,203.98,206.92,112704924
31-Mar-16,205.91,206.41,205.33,205.52,93143793
30-Mar-16,206.30,206.87,205.59,206.02,83166291
29-Mar-16,202.76,205.25,202.40,205.12,90977994
28-Mar-16,203.61,203.86,202.70,203.24,61514340
24-Mar-16,202.00,203.16,201.74,203.12,83607327
23-Mar-16,204.11,204.33,203.01,203.21,79840502
22-Mar-16,203.76,205.23,203.57,204.56,96209380
21-Mar-16,204.07,204.94,203.80,204.67,70591212
18-Mar-16,204.17,204.78,203.80,204.38,134715170
17-Mar-16,203.24,205.23,202.77,204.63,130871283
16-Mar-16,201.60,203.82,201.55,203.34,125361832
15-Mar-16,201.36,202.53,201.05,202.17,93169090
14-Mar-16,202.16,203.04,201.77,202.50,73346912
11-Mar-16,201.26,202.81,199.52,202.76,135926900
10-Mar-16,199.96,201.07,197.38,199.54,154899074
9-Mar-16,199.36,199.79,198.43,199.38,93372316
8-Mar-16,199.32,199.92,198.21,198.40,121952823
7-Mar-16,199.34,201.07,199.25,200.59,99778790
4-Mar-16,200.01,201.35,199.03,200.43,127953606
3-Mar-16,198.79,199.80,198.11,199.78,94597431
2-Mar-16,197.74,199.06,197.25,199.00,101264715
1-Mar-16,195.01,198.21,194.45,198.11,139070843
29-Feb-16,195.11,196.23,193.33,193.35,122448542
26-Feb-16,196.57,196.68,194.90,195.09,128348228
25-Feb-16,193.73,195.55,192.83,195.54,109183249
24-Feb-16,190.63,193.53,189.32,193.20,149607920
23-Feb-16,194.00,194.32,192.18,192.32,109902798
22-Feb-16,193.87,194.95,193.79,194.78,101699014
19-Feb-16,191.17,192.18,190.45,192.00,114081542
18-Feb-16,193.20,193.27,191.72,192.09,101076515
17-Feb-16,191.16,193.32,191.01,192.88,134203601
16-Feb-16,188.77,189.81,187.63,189.78,115542766
12-Feb-16,184.96,186.65,183.96,186.63,127093730
11-Feb-16,182.34,184.10,181.09,182.86,214629542
10-Feb-16,186.41,188.34,185.12,185.27,146910485
9-Feb-16,183.36,186.94,183.20,185.43,179281791
8-Feb-16,185.77,186.12,182.80,185.42,189248416
5-Feb-16,190.99,191.67,187.20,187.95,178436180
4-Feb-16,190.71,192.75,189.96,191.60,137261874
3-Feb-16,191.41,191.78,187.10,191.30,204060878
2-Feb-16,191.96,191.97,189.54,190.16,175500039
1-Feb-16,192.53,194.58,191.84,193.65,133582159
29-Jan-16,190.02,193.88,189.88,193.72,204034161
28-Jan-16,189.96,190.20,187.16,189.11,142851654
27-Jan-16,189.58,191.56,187.06,188.13,184186327
26-Jan-16,188.42,190.53,188.02,190.20,138004751
25-Jan-16,189.92,190.15,187.41,187.64,127112162
22-Jan-16,189.78,190.76,188.88,190.52,166679398
21-Jan-16,186.21,188.87,184.64,186.69,191085235
20-Jan-16,185.03,187.50,181.02,185.65,283288870
19-Jan-16,189.96,190.11,186.20,188.06,192723808
15-Jan-16,186.77,188.76,185.52,187.81,317904944
14-Jan-16,189.55,193.26,187.66,191.93,237705564
13-Jan-16,194.45,194.86,188.38,188.83,218780219
12-Jan-16,193.82,194.55,191.14,193.66,172330490
11-Jan-16,193.01,193.41,189.82,192.11,187941323
8-Jan-16,195.19,195.85,191.58,191.92,209817228
7-Jan-16,195.33,197.44,193.59,194.05,213436073
6-Jan-16,198.34,200.06,197.60,198.82,152112604
5-Jan-16,201.40,201.90,200.05,201.36,110845849
4-Jan-16,200.49,201.03,198.59,201.02,218722198
